	Trump negative	Covid	economic	postal service	Care for older 	defende protests	minority problems	unemployment 	violence problemANTIFA(radical protest/liberal mob)	police  brutality	unite America	systemic racism	Obama	justice	equality	Senate	rebuild	woman 	progress	soul of this nation	change	Joe Biden positive	green	infrastructure	china	climate change	medical_care_health_care	 LGBTQ+	immigrants_openborders	voting rights	civil rights and liberties and freedom	Supreme Court 	education	children 	diversity 	small business	increase minimum wage	corruptionSwamp	safety	democracy 	troops_army_military	hate_groups_nationalism	families	Godfaith	foreign policy	Russia	gun_problem	American dream	conservative	MAGA	liberal elite/political establishment	Trump positive	patriotism	American People	Fake News	Biden negative	Harris negative	Radical Socialists/left	medical efficency/deal with covid	America FIRST 	voter fraud	censorship_big tech_corp	taxes and regulations/big gov	Impeachment WITCH HUNT	terrorists	immigrant problemWALL	constitution	pro life/unborn	rule of law/police support	defend America	working people/class	stimulus check	poverty	Forbid debt 	democrats do not enough	republican negative	war budget	oil, gas and coal companies negative	rich people	Green New Deal	political revolution and transforming 	tax the rich	 criminal system reform 	labor union	housing/homeless problem	democratic socialism	science	sexism	Muslim 	student debt	racial justice	religious bigoty	failed war on drugs/legalize	transform America	capitalism 	authoritarianism	peace	lobbyists 	
trump384																																																		1					1			1																																									
trump385																																																		1					1			1																																									
trump386																																																			1					1		1			1																																						
trump387																																																				1		1																																													
trump388																																																				1		1																																													
trump389																																						1													1				1	1	1	1																																									
trump390																																						1													1				1	1	1	1																																									
trump391																																1																					1																																														
trump392																									1																															1		1																																									
trump393																																1																																			1																																
trump394																																																		1		1																		1																													
trump395																																									1										1	1	1	1						1			1			1																																	
trump396																																									1										1	1	1	1						1			1			1																																	
trump397																																																				1		1					1				1			1			1																														
trump398																																						1																1		1																																											
trump399																																																								1	1																																										
trump400																1																																					1																																														
trump401																																																						1	1	1																																											
trump402																																																		1			1					1																																									
trump403																1																																										1																																									
trump404																																																				1		1																																													
trump405		1																													1																				1											1													1																								
trump406																1																																				1	1					1																																									
trump407																																																		1		1		1					1	1																																							
trump408																																																					1		1	1	1						1																																				
trump409																																																						1					1		1																																						
trump410																																																					1				1																																										
trump411																																																				1		1				1			1																																						
trump412																																																													1																																						
trump413																1																																													1																																						
trump414																																																		1			1																																														
trump415																																																				1	1																																														
trump416																																																					1		1	1		1																																									
trump417																																																				1								1																																							
trump418			1																																																																																																
trump419			1																																																																																																
trump420																																																		1					1			1																																									
trump421																																																		1					1			1																																									
trump422																1																																																																																			
trump423																																																		1		1																																															
trump424																1																1																					1					1		1			1				1																																
trump425			1					1																								1						1			1			1	1					1					1	1		1							1			1																															
trump426			1					1																								1						1			1			1	1					1					1	1		1							1			1																															
trump427											1																																							1		1		1																																													
trump428																																																								1					1																																						
trump429																																																													1																																						
trump430																																						1													1		1		1	1	1	1					1																																				
trump431																																																													1																																						
trump432																																																		1						1	1																																										
trump433																																																		1						1	1																																										
trump434																															1																			1					1	1	1	1				1					1																																
trump435																															1																			1					1	1	1	1				1					1																																
trump436																																																		1					1			1																																									
trump437																																																		1					1			1																																									
trump438																																																										1			1																																						
trump439																																																													1																																						
trump440																																																	1			1	1	1							1																																						
trump441																																																							1																																												
trump442																																																					1	1				1																																									
trump443																1																																																																																			
trump444			1																						1							1						1					1		1							1		1		1		1	1						1																																		
trump445			1																						1							1						1					1		1							1		1		1		1	1						1																																		
trump446			1																						1							1						1					1		1							1		1		1		1	1						1																																		
trump447																																1																		1				1																																													
trump448																																																						1	1	1					1																																						
trump449																																						1														1	1	1	1																																												
trump450																																																						1				1																																									
trump451																																																						1				1																																									
trump452																																						1														1	1	1	1																																												
trump453																																																						1				1			1																																						
trump454																																																						1		1																																											
trump455																																																					1					1			1																																						
trump456																																																					1								1																																						
trump457																																																							1																																												
trump458																1																1																					1					1		1			1						1																														
trump459											1																																										1					1											1																														
trump460																																																							1					1	1																																						
trump461			1																																																	1							1		1																																						
trump462																																																						1																																													
trump463																																																					1																																														
trump464																																																					1																																														
trump465																																																					1																																														
trump466																																																					1					1					1																																				
trump467																																																				1				1																																											
trump468																																																				1				1																																											
trump469																																																		1						1	1	1																																									
trump470																																																							1																																												
trump471																																1																					1			1	1																		1																								
trump472																																																		1					1			1																																									
trump473																																																		1																																																	
trump474																																												1											1				1																																								
trump475																																																							1			1																																									
trump476																																																		1																																																	
trump477																																																							1	1		1																																									
trump478																																																							1																																												
trump479																																																				1		1																																													
trump480																																																													1																																						
trump481																																																													1																																						
trump482																									1													1															1	1	1	1						1																																					
